N.1,N.2,N.3,N.4,N.5,X.1,X.2,X.3,X.4,X.5,X.6,X.7,X.8,TT_N,M.1,M.2,M.3,M.4,M.5
0,0,1,0,0,1,0,0,0,0,0,0,0,5,NA,NA,1639,NA,NA
NA,NA,NA,NA,0,1,0,0,1,0,0,0,0,1,,,,,
0,NA,NA,NA,NA,1,0,0,1,0,0,0,0,1,,,,,
NA,0,NA,NA,NA,1,0,0,1,0,0,0,0,1,,,,,
0,NA,NA,NA,NA,1,0,0,1,0,0,0,1,1,,,,,
0,NA,NA,NA,NA,1,0,0,1,0,0,0,0,1,,,,,
0,NA,NA,NA,NA,1,0,0,1,0,0,0,1,1,,,,,
0,NA,NA,NA,NA,1,0,0,1,0,0,1,0,1,,,,,
0,NA,NA,NA,NA,1,1,0,0,0,0,1,0,1,,,,,
0,NA,NA,NA,NA,1,1,0,0,0,0,1,0,1,,,,,
NA,NA,NA,NA,0,1,1,0,0,0,0,0,1,1,,,,,
0,NA,NA,NA,NA,1,1,0,0,0,0,1,0,1,,,,,
0,NA,NA,NA,NA,1,0,0,0,1,0,0,1,1,,,,,
0,NA,NA,NA,NA,1,0,0,0,1,0,1,0,1,,,,,
NA,NA,0,NA,NA,1,0,0,0,1,0,1,0,1,,,,,
0,NA,NA,NA,NA,1,0,0,0,1,0,0,1,1,,,,,
0,NA,NA,NA,NA,1,0,0,0,1,0,0,1,1,,,,,
0,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,,,,,
NA,NA,NA,NA,0,1,0,0,0,1,0,1,0,1,,,,,
0,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,,,,,
0,NA,NA,NA,NA,1,0,0,0,1,0,1,0,1,,,,,
0,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,,,,,
0,NA,NA,NA,NA,1,0,0,0,0,1,1,0,1,,,,,
0,NA,NA,NA,NA,1,0,0,0,0,1,0,0,1,,,,,
0,NA,NA,NA,NA,1,0,0,0,0,1,0,0,1,,,,,
0,NA,NA,NA,NA,1,0,0,0,0,1,1,0,1,,,,,
NA,NA,0,NA,NA,1,0,0,0,0,1,1,0,1,,,,,
0,NA,NA,NA,NA,1,0,0,0,0,1,0,0,1,,,,,
